coin,short_venue,long_venue,apr_90d,apr_30d,apr_14d,pos_day_frac,max_dd_notional,daily_std,overlap_days,iv_a,iv_b,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,live_gross_apr
CAKE,hl,binance,0.043209,0.0,0.0,0.813953,0.002376,0.000271,41.708333,1.000001,4.0,0.0019,-0.006327,0.020092,0.023352
SEI,binance,hl,0.042764,0.000497,-0.021536,0.505495,0.002876,0.00043,89.708333,8.0,1.0,0.0019,-0.006771,0.019648,0.247241
ADA,bybit,hl,0.043441,-0.016235,-0.054553,0.538462,0.003249,0.000388,89.708333,8.0,1.0,0.002,-0.008702,0.019107,0.0
SOL,hl,binance,0.041453,0.081825,0.101764,0.791209,0.002204,0.000213,89.708333,1.0,8.0,0.0019,-0.008083,0.018336,0.162914
SOL,hl,bybit,0.041615,0.08206,0.102695,0.78022,0.002272,0.000214,89.708333,1.0,8.0,0.002,-0.010528,0.017281,0.125936
BZ,bybit,binance,0.039102,0.077667,0.014534,0.582418,0.000793,0.000256,89.708333,8.0,4.0,0.0021,-0.015648,0.013552,0.364394
PIEVERSE,binance,bybit,0.038453,0.043526,0.034675,0.989011,8e-05,7.4e-05,89.875,4.0,8.0,0.0021,-0.016297,0.012903,0.464893
KUAISHOU,binance,bybit,0.029127,0.029127,0.036938,0.636364,3.2e-05,7.9e-05,21.041667,8.0,8.0,0.0021,-0.025623,0.003577,0.624829
PENGU,hl,okx,0.025873,0.102046,0.189846,0.692308,0.004689,0.000403,89.875,1.0,8.0,0.0019,-0.023663,0.002756,0.05475
TRUMP,okx,binance,0.026602,-0.000216,-0.001165,0.703297,0.000247,0.00011,89.875,8.0,4.0,0.002,-0.025541,0.002269,0.027504
FOLKS,binance,bybit,0.026959,0.020754,0.041291,0.692308,0.001114,0.000171,89.875,4.0,8.0,0.0021,-0.027791,0.001409,0.360518
INJ,bybit,hl,0.025146,0.00125,-0.136924,0.505495,0.005882,0.000442,89.708333,8.0,1.0,0.002,-0.026996,0.000813,0.0
